N,Avocado,Mangoes ,Oranges ,Papaya ,,,,,,,,,,
733,,4,4,1,,,,,,,,,,
734,,3,3,1,,,,,,,,,,
735,,0,4,1,,,,,,,,,,
736,,4,4,1,,,,,,,,,,
737,,0,2,0,,,,,,,,,,
738,,1,4,2,,,,,,,,,,
739,,2,4,1,,,,,,,,,,
740,,4,4,4,,,,,,,,,,
741,,7,4,3,,,,,,,,,,
742,,3,3,2,,,,,,,,,,
743,,3,4,1,,,,,,,,,,
744,,3,8,3,,,,,,,,,,
745,,2,4,3,,,,,,,,,,
746,,1,5,4,,,,,,,,,,
747,,1,6,2,,,,,,,,,,
748,,0,4,4,,,,,,,,,,
749,,0,8,2,,,,,,,,,,
750,,0,4,3,,,,,,,,,,
751,,0,4,1,,,,,,,,,,
752,,0,4,0,,,,,,,,,,
753,,0,4,3,,,,,,,,,,
754,,0,4,4,,,,,,,,,,
755,,0,4,4,,,,,,,,,,
756,,3,4,4,,,,,,,,,,
757,,,2,,,,,,,,,,,
758,,,2,,,,,,,,,,,
759,,,2,,,,,,,,,,,
760,,,2,,,,,,,,,,,
761,,,2,,,,,,,,,,,
762,,,2,,,,,,,,,,,
763,,,2,,,,,,,,,,,
764,,,2,,,,,,,,,,,
765,,,2,,,,,,,,,,,
766,,,2,,,,,,,,,,,
767,,,2,,,,,,,,,,,
768,,,2,,,,,,,,,,,
769,,,60,,,,,,,,,,,
770,,,2,,,,,,,,,,,
771,,,2,,,,,,,,,,,
772,,,2,,,,,,,,,,,
773,,,2,,,,,,,,,,,
774,,,2,,,,,,,,,,,
775,,,4,,,,,,,,,,,
776,,,2,,,,,,,,,,,
777,,3,3,2,,,,,,,,,,
778,,3,3,2,,,,,,,,,,
779,,3,3,2,,,,,,,,,,
780,,3,3,2,,,,,,,,,,
781,,3,3,2,,,,,,,,,,
782,,3,3,2,,,,,,,,,,
783,,3,3,2,,,,,,,,,,
784,,3,3,2,,,,,,,,,,
785,,3,3,2,,,,,,,,,,
786,,3,4,2,,,,,,,,,,
787,,3,4,2,,,,,,,,,,
788,,3,4,2,,,,,,,,,,
789,,3,4,2,,,,,,,,,,
790,,3,4,2,,,,,,,,,,
791,,3,3,2,,,,,,,,,,
792,,3,3,2,,,,,,,,,,
793,,3,3,2,,,,,,,,,,
794,,3,3,2,,,,,,,,,,
795,,3,3,2,,,,,,,,,,
796,,3,3,2,,,,,,,,,,
797,,,3,2,,,,,,,,,,
798,,,3,2,,,,,,,,,,
799,,,3,2,,,,,,,,,,
800,,,3,2,,,,,,,,,,
801,,,3,2,,,,,,,,,,
802,,,3,2,,,,,,,,,,
803,,,3,2,,,,,,,,,,
804,,,3,2,,,,,,,,,,
805,,,3,2,,,,,,,,,,
806,,,3,2,,,,,,,,,,
807,,,2,2,,,,,,,,,,
808,,,2,2,,,,,,,,,,
809,,,2,2,,,,,,,,,,
810,,,2,2,,,,,,,,,,
811,,,2,2,,,,,,,,,,
812,,,2,2,,,,,,,,,,
813,,,2,2,,,,,,,,,,
814,,,2,2,,,,,,,,,,
815,,,2,2,,,,,,,,,,
816,,,2,2,,,,,,,,,,
817,,3,3,2,,,,,,,,,,
818,,3,3,2,,,,,,,,,,
819,,3,3,1,,,,,,,,,,
820,,3,3,1,,,,,,,,,,
821,,3,3,1,,,,,,,,,,
822,,3,3,1,,,,,,,,,,
823,,3,3,2,,,,,,,,,,
824,,3,4,2,,,,,,,,,,
825,,3,4,2,,,,,,,,,,
826,,3,4,2,,,,,,,,,,
827,,3,4,2,,,,,,,,,,
828,,3,4,2,,,,,,,,,,
829,,3,3,2,,,,,,,,,,
830,,3,3,2,,,,,,,,,,
831,,3,3,2,,,,,,,,,,
832,,3,3,2,,,,,,,,,,
833,,3,3,2,,,,,,,,,,
834,,3,3,2,,,,,,,,,,
835,,3,3,2,,,,,,,,,,
836,,3,3,2,,,,,,,,,,
837,,2,5,6,,,,,,,,,,
838,,2,5,6,,,,,,,,,,
839,,2,5,6,,,,,,,,,,
840,,2,5,6,,,,,,,,,,
841,,20,5,6,,,,,,,,,,
842,,12,5,6,,,,,,,,,,
843,,2,5,6,,,,,,,,,,
844,,22,5,6,,,,,,,,,,
845,,2,5,6,,,,,,,,,,
846,,22,5,6,,,,,,,,,,
847,,25,5,6,,,,,,,,,,
848,,2,5,6,,,,,,,,,,
849,,50,45,50,,,,,,,,,,
850,,2,5,6,,,,,,,,,,
851,,4,5,6,,,,,,,,,,
852,,2,5,6,,,,,,,,,,
853,,2,5,6,,,,,,,,,,
854,,24,5,6,,,,,,,,,,
855,,2,5,6,,,,,,,,,,
856,,20,5,6,,,,,,,,,,
857,,5,5,6,,,,,,,,,,
858,,5,5,6,,,,,,,,,,
859,,5,5,6,,,,,,,,,,
860,,5,5,6,,,,,,,,,,
861,,20,5,6,,,,,,,,,,
862,,15,5,6,,,,,,,,,,
863,,15,5,6,,,,,,,,,,
864,,5,5,6,,,,,,,,,,
865,,8,5,6,,,,,,,,,,
866,,5,5,6,,,,,,,,,,
867,,18,5,6,,,,,,,,,,
868,,5,5,6,,,,,,,,,,
869,,5,5,6,,,,,,,,,,
870,,5,5,6,,,,,,,,,,
871,,5,5,6,,,,,,,,,,
872,,5,5,6,,,,,,,,,,
873,,5,5,6,,,,,,,,,,
874,,5,5,6,,,,,,,,,,
875,,180,50,50,,,,,,,,,,
876,,2,6,6,,,,,,,,,,
877,,20,6,6,,,,,,,,,,
878,,1,6,6,,,,,,,,,,
879,,16,6,6,,,,,,,,,,
880,,20,6,6,,,,,,,,,,
881,,100,100,100,,,,,,,,,,
882,,2,6,6,,,,,,,,,,
883,,12,6,6,,,,,,,,,,
884,,14,6,6,,,,,,,,,,
885,,2,6,6,,,,,,,,,,
886,,13,6,6,,,,,,,,,,
887,,2,6,6,,,,,,,,,,
888,,20,6,6,,,,,,,,,,
889,,2,6,6,,,,,,,,,,
890,,2,6,6,,,,,,,,,,
891,,20,6,6,,,,,,,,,,
892,,2,6,6,,,,,,,,,,
893,,12,6,6,,,,,,,,,,
894,,2,6,6,,,,,,,,,,
895,,25,6,6,,,,,,,,,,
896,,5,6,6,,,,,,,,,,
897,,5,6,6,,,,,,,,,,
898,,5,6,6,,,,,,,,,,
899,,5,6,6,,,,,,,,,,
900,,5,6,6,,,,,,,,,,
901,,30,33,40,,,,,,,,,,
902,,5,6,6,,,,,,,,,,
903,,5,6,6,,,,,,,,,,
904,,5,6,6,,,,,,,,,,
905,,5,6,6,,,,,,,,,,
906,,5,6,6,,,,,,,,,,
907,,5,6,6,,,,,,,,,,
908,,5,6,6,,,,,,,,,,
909,,5,6,6,,,,,,,,,,
910,,5,6,6,,,,,,,,,,
911,,5,6,6,,,,,,,,,,
912,,5,6,6,,,,,,,,,,
913,,5,6,6,,,,,,,,,,
914,,5,6,6,,,,,,,,,,
915,,5,6,6,,,,,,,,,,
916,,3,6,5,,,,,,,,,,
917,,3,6,5,,,,,,,,,,
918,,3,6,5,,,,,,,,,,
919,,3,6,5,,,,,,,,,,
920,,3,6,5,,,,,,,,,,
921,,3,6,5,,,,,,,,,,
922,,3,6,5,,,,,,,,,,
923,,60,50,35,,,,,,,,,,
924,,3,6,5,,,,,,,,,,
925,,3,6,5,,,,,,,,,,
926,,3,6,5,,,,,,,,,,
927,,3,6,5,,,,,,,,,,
928,,10,6,5,,,,,,,,,,
929,,6,6,5,,,,,,,,,,
930,,3,6,5,,,,,,,,,,
931,,1,6,6,,,,,,,,,,
932,,1,6,6,,,,,,,,,,
933,,3,6,8,,,,,,,,,,
934,,3,6,8,,,,,,,,,,
935,,2,6,10,,,,,,,,,,
936,,60,40,40,,,,,,,,,,
937,,13,16,10,,,,,,,,,,
938,,7,2,10,,,,,,,,,,
939,,20,20,20,,,,,,,,,,
940,,100,90,85,,,,,,,,,,
941,,20,15,10,,,,,,,,,,
942,,15,12,10,,,,,,,,,,
943,,13,20,20,,,,,,,,,,
944,,5,10,18,,,,,,,,,,
945,,8,2,10,,,,,,,,,,
946,,15,15,20,,,,,,,,,,
947,,14,20,10,,,,,,,,,,
948,,18,35,18,,,,,,,,,,
949,,6,12,10,,,,,,,,,,
950,,5,1,10,,,,,,,,,,
951,,12,17,20,,,,,,,,,,
952,,10,20,20,,,,,,,,,,
953,,15,15,10,,,,,,,,,,
954,,12,2,10,,,,,,,,,,
955,,2,6,6,,,,,,,,,,
956,,2,6,6,,,,,,,,,,
957,,40,6,50,,,,,,,,,,
958,,2,6,6,,,,,,,,,,
959,,3,6,6,,,,,,,,,,
960,,30,12,20,,,,,,,,,,
961,,3,6,6,,,,,,,,,,
962,5,2,,1,,,,,,,,,,
963,2,2,2,5,,,,,,,,,,
964,2,,2,3,,,,,,,,,,
965,2,,2,3,,,,,,,,,,
966,2,,2,3,,,,,,,,,,
967,2,,2,3,,,,,,,,,,
968,2,,2,3,,,,,,,,,,
969,2,,2,3,,,,,,,,,,
970,2,,2,2,,,,,,,,,,
971,2,,2,2,,,,,,,,,,
972,2,,2,2,,,,,,,,,,
973,2,,2,2,,,,,,,,,,
974,2,,2,2,,,,,,,,,,
975,2,,2,2,,,,,,,,,,
976,2,,2,2,,,,,,,,,,
977,2,,2,2,,,,,,,,,,
978,2,,2,2,,,,,,,,,,
979,2,,2,2,,,,,,,,,,
980,2,,2,2,,,,,,,,,,
981,2,,2,4,,,,,,,,,,
982,1,,1,1,,,,,,,,,,
983,4,,4,,,,,,,,,,,
984,1,,1,3,,,,,,,,,,
985,2,,1,3,,,,,,,,,,
986,1,,1,3,,,,,,,,,,
987,60,,40,100,,,,,,,,,,
988,3,,3,3,,,,,,,,,,
989,2,,1,3,,,,,,,,,,
990,2,,2,3,,,,,,,,,,
991,1,,1,3,,,,,,,,,,
992,1,,2,3,,,,,,,,,,
993,1,,1,3,,,,,,,,,,
994,1,,1,3,,,,,,,,,,
995,1,,2,3,,,,,,,,,,
996,1,,2,3,,,,,,,,,,
997,1,,1,3,,,,,,,,,,
998,1,,1,3,,,,,,,,,,
999,2,,2,3,,,,,,,,,,
1000,2,,2,3,,,,,,,,,,
1001,1,,1,3,,,,,,,,,,
1002,2,,1,2,,,,,,,,,,
1003,1,,1,2,,,,,,,,,,
1004,1,,1,2,,,,,,,,,,
1005,1,,1,2,,,,,,,,,,
1006,2,,1,3,,,,,,,,,,
1007,1,,1,2,,,,,,,,,,
1008,2,,1,2,,,,,,,,,,
1009,1,,1,2,,,,,,,,,,
1010,1,,1,2,,,,,,,,,,
1011,1,,1,2,,,,,,,,,,
1012,1,,2,3,,,,,,,,,,
1013,1,,1,3,,,,,,,,,,
1014,1,,1,3,,,,,,,,,,
1015,1,,2,3,,,,,,,,,,
1016,1,,1,3,,,,,,,,,,
1017,2,,1,3,,,,,,,,,,
1018,1,,1,3,,,,,,,,,,
1019,1,,1,3,,,,,,,,,,
1020,1,,1,5,,,,,,,,,,
1021,1,,1,1,,,,,,,,,,
1022,1,,1,1,,,,,,,,,,
1023,1,,1,1,,,,,,,,,,
1024,1,,1,1,,,,,,,,,,
1025,1,,1,1,,,,,,,,,,
1026,1,,1,1,,,,,,,,,,
1027,2,,2,1,,,,,,,,,,
1028,1,,1,1,,,,,,,,,,
1029,1,,1,1,,,,,,,,,,
1030,1,,1,1,,,,,,,,,,
1031,1,,1,1,,,,,,,,,,
1032,1,,1,1,,,,,,,,,,
1033,1,,1,1,,,,,,,,,,
1034,1,,1,1,,,,,,,,,,
1035,1,,1,1,,,,,,,,,,
1036,1,,1,2,,,,,,,,,,
1037,1,,1,1,,,,,,,,,,
1038,1,,1,1,,,,,,,,,,
1039,1,,1,1,,,,,,,,,,
1040,1,,1,1,,,,,,,,,,
1041,5,,2,4,,,,,,,,,,
1042,5,,2,0,,,,,,,,,,
1043,2,,2,0,,,,,,,,,,
1044,4,,0,0,,,,,,,,,,
1045,6,,0,0,,,,,,,,,,
1046,3,,0,0,,,,,,,,,,
1047,6,,0,0,,,,,,,,,,
1048,2,,0,0,,,,,,,,,,
1049,1,,0,0,,,,,,,,,,
1050,1,,0,0,,,,,,,,,,
1051,50,,50,30,,,,,,,,,,
1052,100,,100,80,,,,,,,,,,
1053,1,,1,1,,,,,,,,,,
1054,10,,10,8,,,,,,,,,,
1055,1,,1,1,,,,,,,,,,
1056,1,,1,1,,,,,,,,,,
1057,1,,1,1,,,,,,,,,,
1058,1,,1,1,,,,,,,,,,
1059,1,,1,1,,,,,,,,,,
1060,1,,1,1,,,,,,,,,,
1061,1,,1,1,,,,,,,,,,
1062,1,,1,1,,,,,,,,,,
1063,1,,1,1,,,,,,,,,,
1064,1,,1,1,,,,,,,,,,
1065,1,,1,1,,,,,,,,,,
1066,1,,1,1,,,,,,,,,,
1067,1,,1,1,,,,,,,,,,
1068,1,,1,1,,,,,,,,,,
1069,1,,1,1,,,,,,,,,,
1070,1,,1,1,,,,,,,,,,
1071,2,,2,3,,,,,,,,,,
1072,2,,2,2,,,,,,,,,,
1073,1,,2,2,,,,,,,,,,
1074,1,,3,2,,,,,,,,,,
1075,1,,2,1,,,,,,,,,,
1076,2,,2,2,,,,,,,,,,
1077,1,,1,2,,,,,,,,,,
1078,1,,1,2,,,,,,,,,,
1079,1,,2,3,,,,,,,,,,
1080,2,,1,2,,,,,,,,,,
1081,2,,2,2,,,,,,,,,,
1082,2,,2,2,,,,,,,,,,
1083,1,,2,2,,,,,,,,,,
1084,2,,2,2,,,,,,,,,,
1085,2,,3,2,,,,,,,,,,
1086,3,,3,2,,,,,,,,,,
1087,3,,3,3,,,,,,,,,,
1088,1,,1,1,,,,,,,,,,
1089,1,,1,1,,,,,,,,,,
1090,1,,1,1,,,,,,,,,,
1091,1,,1,1,,,,,,,,,,
1092,1,,1,1,,,,,,,,,,
1093,1,,1,1,,,,,,,,,,
1094,1,,1,1,,,,,,,,,,
1095,1,,1,1,,,,,,,,,,
1096,1,,1,1,,,,,,,,,,
1097,1,,1,1,,,,,,,,,,
1098,1,,1,1,,,,,,,,,,
1099,1,,1,1,,,,,,,,,,
1100,1,,1,1,,,,,,,,,,
1101,1,,1,1,,,,,,,,,,
1102,1,,1,1,,,,,,,,,,
1103,1,,1,1,,,,,,,,,,
1104,1,,1,1,,,,,,,,,,
1105,2,,2,3,,,,,,,,,,
1106,2,,2,3,,,,,,,,,,
1107,2,,2,3,,,,,,,,,,
1108,3,,2,2,,,,,,,,,,2
1109,3,,2,2,,,,,,,,,,
1110,3,,2,2,,,,,,,,,,
1111,3,,2,2,,,,,,,,,,
1112,3,,2,2,,,,,,,,,,
1113,3,,2,2,,,,,,,,,,
1114,3,,2,2,,,,,,,,,,
1115,3,,2,2,,,,,,,,,,
1116,3,,2,2,,,,,,,,,,
1117,3,,2,2,,,,,,,,,,
1118,3,,2,2,,,,,,,,,,
1119,3,,2,2,,,,,,,,,,
1120,3,,2,2,,,,,,,,,,
1121,3,,2,2,,,,,,,,,,
1122,3,,2,2,,,,,,,,,,
1123,3,,2,2,,,,,,,,,,
1124,3,,2,2,,,,,,,,,,
1125,3,,2,2,,,,,,,,,,
1126,3,,2,2,,,,,,,,,,
1127,3,,2,2,,,,,,,,,,
1128,3,,2,2,,,,,,,,,,
1129,3,,2,2,,,,,,,,,,
1130,20,,28,20,,,,,,,,,,
1131,20,,20,26,,,,,,,,,,
1132,3,,2,2,,,,,,,,,,
1133,3,,2,2,,,,,,,,,,
1134,3,,2,2,,,,,,,,,,
1135,3,,2,2,,,,,,,,,,
1136,3,,2,2,,,,,,,,,,
1137,3,,2,2,,,,,,,,,,
1138,3,,2,2,,,,,,,,,,
1139,3,,2,2,,,,,,,,,,
1140,3,,2,2,,,,,,,,,,
1141,3,,2,2,,,,,,,,,,
1142,5,,5,5,,,,,,,,,,
1143,3,,2,2,,,,,,,,,,
1144,3,,2,2,,,,,,,,,,
1145,3,,2,2,,,,,,,,,,
1146,3,,2,2,,,,,,,,,,
1147,3,,2,2,,,,,,,,,,
1148,3,,2,2,,,,,,,,,,
1149,3,,2,2,,,,,,,,,,
1150,3,,2,2,,,,,,,,,,
1151,3,,2,2,,,,,,,,,,
1152,3,,2,2,,,,,,,,,,
1153,3,,2,2,,,,,,,,,,
1154,3,,2,2,,,,,,,,,,
1155,3,,2,2,,,,,,,,,,
1156,3,,2,2,,,,,,,,,,
1157,3,,2,2,,,,,,,,,,
1158,3,,2,2,,,,,,,,,,
1159,3,,2,2,,,,,,,,,,
1160,3,,2,2,,,,,,,,,,
1161,3,,2,2,,,,,,,,,,
1162,3,,2,2,,,,,,,,,,
1163,3,,2,2,,,,,,,,,,
1164,3,,2,2,,,,,,,,,,
1165,3,,2,2,,,,,,,,,,
1166,3,,2,2,,,,,,,,,,
1167,3,,2,2,,,,,,,,,,
1168,3,,2,2,,,,,,,,,,
1169,3,,2,2,,,,,,,,,,
1170,3,,2,2,,,,,,,,,,
1171,5,,15,579,,,,,,,,,,
1172,33,,34,26,,,,,,,,,,
1173,3,,12,2,,,,,,,,,,
