N,Avocado,Mangoes ,Oranges ,Papaya ,,,,,,,,,,
170,,2,2,2,,,,,,,,,,
171,,2,2,2,,,,,,,,,,
172,,2,2,2,,,,,,,,,,
173,,2,2,2,,,,,,,,,,
174,,2,2,2,,,,,,,,,,
175,,2,2,2,,,,,,,,,,
176,,2,2,2,,,,,,,,,,
177,,2,2,2,,,,,,,,,,
178,,30,5,5,,,,,,,,,,
179,,2,2,,,,,,,,,,,
180,,2,2,,,,,,,,,,,
181,,2,2,2,,,,,,,,,,
182,,2,2,,,,,,,,,,,
183,,2,2,2,,,,,,,,,,
184,,30,3,,,,,,,,,,,
185,,2,2,,,,,,,,,,,
186,,2,2,2,,,,,,,,,,
187,,2,2,2,,,,,,,,,,
188,,2,3,3,,,,,,,,,,
189,,2,2,2,,,,,,,,,,
190,,30,2,,,,,,,,,,,
191,,2,2,2,,,,,,,,,,
192,,2,2,2,,,,,,,,,,
193,,2,2,2,,,,,,,,,,
194,,20,2,2,,,,,,,,,,
195,,2,2,2,,,,,,,,,,
196,,20,2,2,,,,,,,,,,
197,,2,2,2,,,,,,,,,,
198,,2,2,20,,,,,,,,,,
199,,2,2,20,,,,,,,,,,
200,,2,2,20,,,,,,,,,,
201,,2,2,2,,,,,,,,,,
202,,2,2,20,,,,,,,,,,
203,,2,2,20,,,,,,,,,,
204,,2,2,20,,,,,,,,,,
205,,2,2,2,,,,,,,,,,
206,,2,2,2,,,,,,,,,,
207,,2,2,2,,,,,,,,,,
208,,2,2,12,,,,,,,,,,
209,,20,2,12,,,,,,,,,,
210,,2,2,12,,,,,,,,,,
211,,2,2,12,,,,,,,,,,
212,,20,2,12,,,,,,,,,,
213,,2,2,12,,,,,,,,,,
214,,2,2,12,,,,,,,,,,
215,,2,2,12,,,,,,,,,,
216,,2,2,12,,,,,,,,,,
217,,2,2,2,,,,,,,,,,
218,,2,2,2,,,,,,,,,,
219,,20,2,2,,,,,,,,,,
220,,2,2,2,,,,,,,,,,
221,,2,2,2,,,,,,,,,,
222,,2,2,2,,,,,,,,,,
223,,20,2,20,,,,,,,,,,
224,,2,2,2,,,,,,,,,,
225,,2,2,2,,,,,,,,,,
226,,20,2,2,,,,,,,,,,
227,,2,2,2,,,,,,,,,,
228,,2,2,2,,,,,,,,,,
229,,2,2,2,,,,,,,,,,
230,,2,2,2,,,,,,,,,,
231,,2,2,20,,,,,,,,,,
232,,2,2,2,,,,,,,,,,
233,,2,2,2,,,,,,,,,,
234,,2,2,2,,,,,,,,,,
235,,20,2,2,,,,,,,,,,
236,,2,2,2,,,,,,,,,,
237,,2,2,2,,,,,,,,,,
238,,2,2,2,,,,,,,,,,
239,,2,2,2,,,,,,,,,,
240,,2,2,2,,,,,,,,,,
241,,2,2,2,,,,,,,,,,
242,,2,2,2,,,,,,,,,,
243,,2,2,2,,,,,,,,,,
244,,2,2,2,,,,,,,,,,
245,,2,2,2,,,,,,,,,,
246,,2,2,2,,,,,,,,,,
247,,2,2,2,,,,,,,,,,
248,,20,2,2,,,,,,,,,,
249,,2,2,2,,,,,,,,,,
250,,2,2,2,,,,,,,,,,
251,,2,2,2,,,,,,,,,,
252,,2,2,2,,,,,,,,,,
253,,,2,2,,,,,,,,,,
254,,,2,2,,,,,,,,,,
255,,,2,2,,,,,,,,,,
256,,20,2,2,,,,,,,,,,
257,,2,2,2,,,,,,,,,,
258,,2,1,2,,,,,,,,,,
259,,1,1,2,,,,,,,,,,
260,,1,8,2,,,,,,,,,,
261,,2,1,1,,,,,,,,,,
262,,1,1,2,,,,,,,,,,
263,,1,2,2,,,,,,,,,,
264,,,1,2,,,,,,,,,,
265,,,2,2,,,,,,,,,,
266,,1,8,2,,,,,,,,,,
267,,,6,2,,,,,,,,,,
268,,1,2,2,,,,,,,,,,
269,,2,2,2,,,,,,,,,,
270,,2,2,2,,,,,,,,,,
271,,10,10,2,,,,,,,,,,
272,,2,2,2,,,,,,,,,,
273,,2,2,2,,,,,,,,,,
274,,2,2,2,,,,,,,,,,
275,,2,2,2,,,,,,,,,,
276,,2,2,2,,,,,,,,,,
277,,2,2,2,,,,,,,,,,
278,,2,2,2,,,,,,,,,,
279,,2,2,2,,,,,,,,,,
280,,2,2,4,,,,,,,,,,
281,,2,2,2,,,,,,,,,,
282,,2,2,2,,,,,,,,,,
283,,2,2,2,,,,,,,,,,
284,,2,2,2,,,,,,,,,,
285,,2,2,2,,,,,,,,,,
286,,2,2,2,,,,,,,,,,
287,,5,5,,,,,,,,,,,
288,,2,2,,,,,,,,,,,
289,,5,15,10,,,,,,,,,,
290,,2,2,2,,,,,,,,,,
291,,2,2,2,,,,,,,,,,
292,,2,2,2,,,,,,,,,,
293,,2,2,2,,,,,,,,,,
294,,2,2,2,,,,,,,,,,
295,,2,2,2,,,,,,,,,,
296,,2,2,2,,,,,,,,,,
297,,2,2,2,,,,,,,,,,
298,,5,15,10,,,,,,,,,,
299,,4,4,2,,,,,,,,,,
300,,2,2,2,,,,,,,,,,
301,,,,2,,,,,,,,,,
302,,2,1,2,,,,,,,,,,
303,,,,2,,,,,,,,,,
304,,2,2,2,,,,,,,,,,
305,,,1,2,,,,,,,,,,
306,,2,2,2,,,,,,,,,,
307,,2,2,2,,,,,,,,,,
308,,2,2,2,,,,,,,,,,
309,,2,2,2,,,,,,,,,,
310,,2,2,2,,,,,,,,,,
311,,2,2,2,,,,,,,,,,
312,,2,2,2,,,,,,,,,,
313,,2,2,2,,,,,,,,,,
314,,2,2,2,,,,,,,,,,
315,,2,2,2,,,,,,,,,,
316,,2,2,2,,,,,,,,,,
317,,2,2,2,,,,,,,,,,
318,,2,2,2,,,,,,,,,,
319,,2,2,2,,,,,,,,,,
320,,2,2,2,,,,,,,,,,
321,,3,2,2,,,,,,,,,,
322,,5,5,,,,,,,,,,,
323,,2,2,2,,,,,,,,,,
324,,2,2,2,,,,,,,,,,
325,,2,2,2,,,,,,,,,,
326,,2,2,2,,,,,,,,,,
327,,2,2,2,,,,,,,,,,
328,,2,2,2,,,,,,,,,,
329,,2,2,2,,,,,,,,,,
