ecd_id,grade,academic_year
274,Top,2023-2024
275,Top,2023-2024
276,Top,2023-2024
277,Top,2023-2024
278,Top,2023-2024
279,Top,2023-2024
280,Top,2023-2024
281,Top,2023-2024
282,Top,2023-2024
283,Top,2023-2024
284,Top,2023-2024
285,Top,2023-2024
286,Top,2023-2024
287,Top,2023-2024
288,Top,2023-2024
289,Top,2023-2024
290,Top,2023-2024
291,Top,2023-2024
292,Top,2023-2024
293,Top,2023-2024
294,Top,2023-2024
295,Top,2023-2024
296,Top,2023-2024
297,Top,2023-2024
298,Top,2023-2024
299,Top,2023-2024
300,Top,2023-2024
301,Top,2023-2024
302,Top,2023-2024
303,Top,2023-2024
304,Top,2023-2024
